layer,MA
conv1,118014016
res2a-1,51380224
res2a-2a,12845056
res2a-2b,115605504
res2a-2c,51380224
res2b-2a,51380224
res2b-2b,115605504
res2b-2c,51380224
res2c-2a,51380224
res2c-2b,115605504
res2c-2c,51380224
res3a-1,102760448
res3a-2a,25690112
res3a-2b,115605504
res3a-2c,51380224
res3b-2a,51380224
res3b-2b,115605504
res3b-2c,51380224
res3c-2a,51380224
res3c-2b,115605504
res3c-2c,51380224
res3d-2a,51380224
res3d-2b,115605504
res3d-2c,51380224
res4a-1,102760448
res4a-2a,25690112
res4a-2b,115605504
res4a-2c,51380224
res4b-2a,51380224
res4b-2b,115605504
res4b-2c,51380224
res4c-2a,51380224
res4c-2b,115605504
res4c-2c,51380224
res4d-2a,51380224
res4d-2b,115605504
res4d-2c,51380224
res4e-2a,51380224
res4e-2b,115605504
res4e-2c,51380224
res4f-2a,51380224
res4f-2b,115605504
res4f-2c,51380224
res5a-1,102760448
res5a-2a,25690112
res5a-2b,115605504
res5a-2c,51380224
res5b-2a,51380224
res5b-2b,115605504
res5b-2c,51380224
res5c-2a,51380224
res5c-2b,115605504
res5c-2c,51380224
fc1000,2049000
